date,bank,sentiment
2024-12-23,Bank of Abyssinia,0.0
2024-12-24,Bank of Abyssinia,-1.0
2024-12-26,Bank of Abyssinia,1.0
2024-12-27,Bank of Abyssinia,0.0
2024-12-29,Bank of Abyssinia,-1.0
2024-12-30,Bank of Abyssinia,0.6
2024-12-30,Commercial Bank of Ethiopia,0.0
2025-01-01,Bank of Abyssinia,1.0
2025-01-01,Commercial Bank of Ethiopia,0.0
2025-01-02,Bank of Abyssinia,-0.3333333333333333
2025-01-03,Bank of Abyssinia,0.3333333333333333
2025-01-04,Bank of Abyssinia,0.5
2025-01-05,Commercial Bank of Ethiopia,1.0
2025-01-06,Bank of Abyssinia,0.0
2025-01-07,Bank of Abyssinia,1.0
2025-01-09,Bank of Abyssinia,1.0
2025-01-10,Bank of Abyssinia,1.0
2025-01-11,Bank of Abyssinia,1.0
2025-01-11,Commercial Bank of Ethiopia,1.0
2025-01-11,Dashen Bank,1.0
2025-01-12,Bank of Abyssinia,1.0
2025-01-13,Bank of Abyssinia,0.0
2025-01-13,Dashen Bank,0.75
2025-01-14,Bank of Abyssinia,1.0
2025-01-14,Dashen Bank,0.6428571428571429
2025-01-15,Bank of Abyssinia,-1.0
2025-01-15,Dashen Bank,0.55
2025-01-16,Bank of Abyssinia,0.0
2025-01-16,Dashen Bank,0.9
2025-01-17,Bank of Abyssinia,0.0
2025-01-17,Dashen Bank,0.5
2025-01-18,Bank of Abyssinia,0.0
2025-01-18,Dashen Bank,1.0
2025-01-19,Dashen Bank,1.0
2025-01-20,Dashen Bank,1.0
2025-01-21,Bank of Abyssinia,0.5
2025-01-21,Dashen Bank,0.25
2025-01-22,Bank of Abyssinia,0.0
2025-01-22,Dashen Bank,1.0
2025-01-23,Bank of Abyssinia,1.0
2025-01-23,Dashen Bank,0.5
2025-01-24,Dashen Bank,1.0
2025-01-25,Dashen Bank,0.3333333333333333
2025-01-27,Bank of Abyssinia,-1.0
2025-01-28,Dashen Bank,0.0
2025-01-29,Commercial Bank of Ethiopia,0.0
2025-01-29,Dashen Bank,1.0
2025-01-30,Bank of Abyssinia,-1.0
2025-01-30,Commercial Bank of Ethiopia,0.0
2025-01-30,Dashen Bank,1.0
2025-01-31,Bank of Abyssinia,0.6666666666666666
2025-01-31,Dashen Bank,1.0
2025-02-01,Bank of Abyssinia,1.0
2025-02-01,Dashen Bank,0.5
2025-02-02,Dashen Bank,0.6666666666666666
2025-02-03,Dashen Bank,1.0
2025-02-04,Bank of Abyssinia,0.0
2025-02-04,Dashen Bank,0.25
2025-02-05,Bank of Abyssinia,1.0
2025-02-05,Dashen Bank,1.0
2025-02-06,Dashen Bank,0.5
2025-02-07,Bank of Abyssinia,1.0
2025-02-07,Dashen Bank,0.5
2025-02-08,Bank of Abyssinia,1.0
2025-02-09,Dashen Bank,-1.0
2025-02-10,Dashen Bank,1.0
2025-02-11,Dashen Bank,-1.0
2025-02-12,Bank of Abyssinia,0.0
2025-02-12,Dashen Bank,0.5
2025-02-13,Dashen Bank,0.3333333333333333
2025-02-14,Bank of Abyssinia,1.0
2025-02-14,Dashen Bank,1.0
2025-02-15,Bank of Abyssinia,1.0
2025-02-16,Dashen Bank,0.5
2025-02-18,Dashen Bank,1.0
2025-02-21,Bank of Abyssinia,1.0
2025-02-21,Dashen Bank,1.0
2025-02-22,Bank of Abyssinia,1.0
2025-02-22,Dashen Bank,-0.5
2025-02-23,Bank of Abyssinia,1.0
2025-02-24,Dashen Bank,0.0
2025-02-26,Bank of Abyssinia,0.0
2025-02-26,Dashen Bank,0.6666666666666666
2025-02-27,Dashen Bank,1.0
